Hello everyone l want to contribute in coala. I have some experience in open source contribution and having a good knowledge in Python. Can someone help me to choose issues that haven't been resolved yet.,no,,
is coala avialable for 2020 GSoC,no,,
"@mutasim58153330_twitter, not sure yet. Check back around GSoC's org submission.",no,,
@arpitkaushik18 You can select your own issues based on what you feel can be solved,no,,
Will do that,no,,
@utkarsh2102 thanks for relpy,no,,
"Hello everyone.
How do I get issues assigned to me, so that I can give a PR?",no,,
@abhishalya,no,,
"@arzoo14 Until unless you are a member of coala, we won't be able to assign you issues. But its not required to submit a PR. Select an issue which doesn't have an existing PR and you are good to go, just comment there that you're working on the issue and will be submitting a PR soon so that others won't work on the same issue while you're at it",no,,
"Google Summer of Code 2020 Announced! :fire:  :fire: 
https://opensource.googleblog.com/2019/12/announcing-google-summer-of-code-2020.html",no,,
:tada:,no,,
🎉,no,,
Hello world,no,,
:tada:,no,,
hello I am Sam,no,,
Can anyone explain what's coala into ?,no,,
"Hey guys! It's still a mystery whether coala will be participating in GSoC'20 or not, because the maintainers have been busy from a very long time. Due to this, a lot of work is still yet to merged to get a new package released.",no,,
"Yeah, very unlikely for coala to participate this year",no,,
I am Rahul Karmakar from India and I would like to contribute in the organisation for GSoC,yes,,
@abhishalya Any chance for coala to participate for gsoc this year?,no,,
"Not sure, but mostly no.",no,,
hello...,no,,
@abhishalya Is it finalised that coala wont participate in gsoc this year?,no,,
@anshuldutt21 I guess it's almost confirmed,no,,
Because our mentors are busy this year,no,,
finalised. No gsoc this year.,no,,
Coala isn't participating in GSOC this year ?,no,,
Are you sure ?,no,,
"Yes, we are sure.",no,,
"Hello, my name is Saloni Garg. And I want to participate in this year GSOC 2020. so,can anyone tell me is coala is going to participate in this year's GSOC 2020 or not.",yes,,
"Nope, not this year @saloni346 ",no,,
why is Coala not participating in GSOC this year???!!,no,,
The mentors are busy,no,,
Hello World,no,,
will coala participate in next year Gsoc ??,no,,
"come on, read a few lines up",no,,
i was asking about 2021?? Cuz coala has been participating in Gsoc continuously in last 2-3 years. Not participating this year is it temporary  or they won't in 2021 too,no,,
I know it's very early to ask but just wanted to know did they take decision on further Gsoc's,no,,
@Shiva-sankaran it will depend on if someone/enough people step up as maintainers and mentors to handle the workload,no,,
Hello I'm gsteja and new to open source.,no,,
I'm interested in contributing to coala,no,,
Can any one plz tell me will coala participate in gsoc 2021,no,,
Thanq in advance,no,,
"Its too early to think about that, but I'd definitely like that.",no,,
Hello! I would like to start contributing to coala and I am unable to find the issues page. Where can I start?,yes,,
"@mitchell-frost, please visit [coala](https://github.com/coala) and go through the projects you want to contribute to. There will be an issues tab in each repo.",no,,
I will do that. Thank you.,no,,
@abhishalya thanq,no,,
hi Amit here I am new to open source and want to contribute to coala community how can i proceed,yes,,
@/all If you are looking for some open source paid internships have a look at the repository mentioned below and maybe star or fork for your future reference https://github.com/deepanshu1422/List-Of-Open-Source-Internships-Programs,no,,
NIceeee. Thanks :),no,,
Is anyone's enrollment document is actually _accepted_ ? (not _conditionally accepted_),no,,
"Google does a final verification before announcing the projects, so all selected projects are *accepted*",no,,
"> Is anyone's enrollment document is actually _accepted_ ? (not _conditionally accepted_)

I remember getting a mail saying that it was conditionally accepted",no,,
Same here. It was told that they would do a second round of review.,no,,
Are you guys interested in making a Whatsapp group. We can help each if someone is stuck at some problem,no,,
"@Utkarsh1308 last year all of us used to have a private gitter room to help each other out, you could do that if you want",no,,
btw congratulations to everyone who got selected,no,,
">  used to have a private gitter room to help each other out

:+1: ",no,,
"https://gitter.im/coala-gsoc-2019/community?utm_source=share-link&utm_medium=link&utm_campaign=share-link

Chat room for all the selected student :point_up:  :)",no,,
:ok_hand:,no,,
Awesome ! :thumbsup:,no,,
@jayvdb @Makman2 can you please review coala/community#242 ?,no,,
"Hey, My name is Akhil Ravoori and I study in BITS Pilani Hyd Campus, I am interested in contributing to this organization. And I am also a beginner but I am quite familiar with the fundamentals of Python. I wanted to ask for advice on how I should prepare for the coming years gsoc and what I should be thorough with to contribute to this organization. I have gone through the newcomers guide on the website as well. But I don't see any new newcomer issues in github to tackle. Any advice would be really helpful. Thanks :D",no,,
"Hi @dmagician123 :wave: These [faqs](http://projects.coala.io/#/faq) might help you out. And, if you need some more information feel free to ask them here or on main channel.
Also, you can find newcomer issues here coala.io/new",no,,
Thanks :D,no,,
hi,no,,
@prernagits Type `Hello World` in the main channel. That'll help you get started,no,,
"Hey guys , I was a part of this group about 3-4 months ago when I joined . ",no,,
Actually I had my exams and I was not able to contribute to coala and also not able to apply for gsoc this year . I would to start contributing to coala from now and hope to apply for gsoc 2020 as it is my last year . ^__^ Is that ok ?,no,,
Best of luck!,no,,
Thanks a lot.,no,,
I think exams usually come around the time gsoc is. Contributing to coala in advance would help alot with getting rid of the extra last minute burden :),no,,
Ya and I was busy doing competitive coding so I thought maybe next time . I was wring tough,no,,
*wrong,no,,
*though,no,,
"Hey @jayvdb , where do we need to submit our final report? What link do we need to use. I am a little confused. I have hosted my report at https://naveenaidu.github.io/GSoCReport-2019/, and also submitted a PR to the coala/projects
",no,,
"But I'm not sure what needs to be done.
",no,,
"Also, can you please let us know whether it will be OK to add un-merged work commit links? or we should include only that work, which  got merged?",no,,
Shouldn't these conversations be kept in https://gitter.im/coala/gsoc-2019-all channel? @KVGarg  @Naveenaidu,no,,
Oops Sorry! I didn't see the channel properly. My bad.,no,,
Do I copy the message over there?,no,,
"Yeah! I forgot about that group
> Shouldn't these conversations be kept in https://gitter.im/coala/gsoc-2019-all channel?",no,,
I am unable to join the mailing list of coala for gsoc. Please help.,no,,
You can get all the information regarding GSoC on this channel itself @sakshichopkar,no,,
"Just a release announcement: moban v0.6.0 is released. for people who use moban with coala, it has in-built PyFileSystem2 support, which means: your configuration and template files can be loaded from:  zip, tar, s3 bucket, dropbox, ftp(full list: https://www.pyfilesystem.org/page/index-of-filesystems/) on top of original support for local file system, git repo and pypi package.",no,,
"I was going through this issue "" 
PycodestyleBear always exits with only one result     https://github.com/coala/coala-bears/issues/2882       "" but I couldn't figure out much I am new to open source if someone can help me it would be a great help.",no,,
"> I was going through this issue "" 
> PycodestyleBear always exits with only one result     https://github.com/coala/coala-bears/issues/2882       "" but I couldn't figure out much I am new to open source if someone can help me it would be a great help.

Already PR created by a contributor! Also, this channel is specific to GSoC related talk
For coala-bears related talk, please join https://gitter.im/coala/coala-bears ",no,,
I am new to coala and my gitlab request gas yet not been approved in the meantime can someone suggest me a difficulty/low issue to me as the issues on the github issue page already have pull requests.,no,,
Hi guys,no,,
Who's the mentor from coals at the summit right now?,no,,
I wanted to meet you..,no,,
I'm representing INCF at the summit right now,no,,
:),no,,
@arnab1896 It was me but I guess we missed each other after the first evening. Hope you had a nice summit anyways :),no,,
"hello, I am new to coala. I ran a code locally after making some changes and I am getting a lot of errors like value error, import error, modulenotfoundErrorr , import Error  in files i have not even changed, the file I changed is not showing any error. I am not able to understand what am I doing wrong can someone  please help me",no,,
"
Are there any mentors that get allotted to the newcomers?
I have read the newcomer's guide and have installed coala. How should I choose my first issue?",no,,
i am new to open source and never contributed in big project please tell me how to get started i really want to start contribute to open source,no,,
2,no,,
@sims1253 hey there i am new,no,,
I guess it’s 18:00 UTC ( 11:30 PM IST),no,,
Yes after 11.30 PM IST.,no,,
10 more minutes to gooo :grimacing:,no,,
yup critical time :sweat_smile:,no,,
"> 10 more minutes to gooo :grimacing: 

:watch: ",no,,
you all will be selected :D,no,,
*we all,no,,
"i have tough chances anyways following you  ""we all"". ",no,,
how many slots did we get ?,no,,
all the very best guyz,no,,
we'll find that out in 2 more minutes,no,,
no idea here,no,,
its just a minute,no,,
But Makman said - We got all the slots we applied for,no,,
cool,no,,
Let's go,no,,
Results are out,no,,
Congratulations to everyone :tada:,no,,
Congrats all :tada:  i will apply next year,no,,
good night,no,,
Congrats to all,no,,
🎉🎉,no,,
Congratulations all :),no,,
Thanks :),no,,
Congratulations Everyone :),no,,
Congratulation 2 all of you :innocent:,no,,
Congratulations everyone :tada:,no,,
"Also guys, please don't let this result affect your open-source journey.
You can always do much greater thing even without GSoC ;)",no,,
Congratulations all :-),no,,
Congrats everyone!,no,,
Congrats everyone :confetti_ball:,no,,
Congratulations everyone!,no,,
"> Also guys, please don't let this result affect your open-source journey.
> You can always do much greater thing even without GSoC ;)

Yeah :+1: ",no,,
Congratulations all 🎉,no,,
Congrats everyone 🎉,no,,
Congratulutions all,no,,
Congo everyone 🎉,no,,
"Congratulations to all those who got selected, get ready for an awesome summer. If you aren't selected, don't lose hope, there are many other things you can do.",no,,
"For ones who got selected, do we need to decide a time at which we will work and inform our respective mentors corresponding to that project?",no,,
Hey!,no,,
who all got selected,no,,
congrats @Naveenaidu,no,,
