I was talking with @pombredanne  today and turns out there's a lot of overlap between what I care about with github.com/python-packaging and what you have in deps of scancode.,no
"I have some uncommitted changes for dowsing that improve the coverage for poetry metadata.  Can you remind me what other fields you care about parsing out of e.g. `setup.py`?  I've been a little stuck on the not-technically-metadata that's parsed by the various build systems to act on, and how to integrate that well with pkginfo.",no
"I'm also interested in test cases, if you have anything that's unusual yet also critical.",no
@thatch Hiya :wave: ,no
"@thatch one of the better ways to understand which data we care for may be to look at https://github.com/nexB/scancode-toolkit/tree/develop/tests/packagedcode/data/pypi/setup.py
",no
"@thatch these are a bunch of ""data-driven"" tests where there is a JSON of expected data extracted from setup.py side-by-side",no
Note that we are not yet collecting deps there... but we should https://github.com/nexB/scancode-toolkit/blob/develop/tests/packagedcode/data/pypi/setup.py/saneyaml_setup.py-expected.json,no
Hi @pombredanne !,no
"I posted a question on IRC, maybe I should repost it here ?",no
"Here it is :  I have a specific question about license detection in scancode 3.1.1. This is about the file https://gitlab.ow2.org/sat4j/sat4j/-/blob/master/org.sat4j.core/src/main/java/org/sat4j/ExitCode.java which looks like having epl and lgpl , but if I look the report for this file I notice that many more licenses are reported : https://privatebin.ow2.org/?033dd8347a6957e0#23RvjogyCZuwUnDqhccbGVSG2SNG4Tgq2JHq97gxeiZT",no
"@mhow2 sure, this is usually more likely to get an answer here. This is a bug for sure",no
"Thanks for the feedback @pombredanne , do I need to open an issue ?",no
"@mhow2 please :) and I have a quick fix on hand so you can also see how you could fix it yourself in the future, if you are interested",no
"@pombredanne : I am interested, of course ;)",no
:+1: ,no
@pombredanne  I'm looking at `packagedcode/pypi.py` and have a few questions when you have time:,no
"1. it looks like you support a single author, not the (de facto) standard of allowing some number of comma-separated names and emails in the appropriate fields.  Is this just because the author/maintainer metadata isn't critical for your application?",no
"2. it looks like the parse_metadata function expects a `metadata.json` -- was that just the transformation described under pep 566, or is there a better description?",no
"3. how is `parse(location)` actually called given a directory without PKG-INFO?  I'm wondering if there is code somewhere that merges the various items?  In the future of pep 621, you might need to read all 3 of pyproject.toml, setup.cfg, setup.py to arrive at the full reality for setuptools metadata, for example.  Right now dowsing requires a directory and I'm wondering how to best adapt that.",no
"@thatch re:

>  I'm looking at packagedcode/pypi.py and have a few questions when you have time:
>    it looks like you support a single author, not the (de facto) standard of allowing some number of comma-separated names and emails in the appropriate fields. Is this just because the author/maintainer metadata isn't critical for your application?

That would be a bug (or an oversight)  @rpotter12 and @JonoYang you both last touched that code: ping :)",no
"@thatch re:

> it looks like the parse_metadata function expects a metadata.json -- was that just the transformation described under pep 566, or is there a better description?

In older wheel versions we had that file created. That's mostly legacy at this stage as this has been dropped since. We still need to process a whole PyPI archive eventually, so that's why we keep this. BUT this is questionable at best and this SHOULD BE documented and is not

We have a test file here https://github.com/nexB/scancode-toolkit/blob/develop/tests/packagedcode/data/pypi/metadata.json

And this was dropped, like 3 eons ago in wheel proper:
https://github.com/pypa/wheel/commit/595e4a8fc6bed54091ead713933c8ec8ebd1bb51",no
